-317,1413,1507,19,-102,-108,1,-3,-3
1639,477,-2519,-79,-102,130,-9,9,12
613,-993,-305,-39,27,-48,-2,8,11
1343,190,-1565,-82,31,31,1,-4,5
735,-285,2387,-20,-64,-67,-2,8,-6
963,456,-1888,-42,-73,88,-1,5,1
-1659,1444,-463,-14,-25,-77,10,-5,10
-443,-95,-1185,142,-14,81,-12,2,-2
-2590,3249,-710,35,-30,36,10,-14,0
-1602,-171,924,83,-50,-20,0,6,-3
-633,2195,-458,31,-200,31,4,0,2
-347,-49,-1976,-19,-50,151,8,9,5
852,314,125,-56,-83,-22,-4,9,2
-10088,3682,-5210,52,32,-38,14,-8,11
-4019,1982,4446,-4,47,-7,7,-6,-7
3444,-2319,-11041,-171,-89,81,4,9,14
2390,792,2117,0,47,114,-4,-4,-10
5661,-1318,-1666,-87,-44,-33,-5,5,5
2856,-1912,743,-36,59,-174,-3,0,9
4275,5447,-5461,6,-11,31,-8,-9,8
1263,1223,980,-98,-69,-68,0,-3,-1
1094,963,1253,-85,-105,-75,0,5,-3
2641,-922,2124,-113,61,-142,-13,2,-3
600,859,-398,-26,-97,-4,-3,5,5
-128,-1533,330,-12,73,-88,3,7,9
1419,-1507,-528,-159,29,-15,7,13,8
574,-1299,-1100,-17,104,113,-4,0,-4
-440,-1923,-8,-2,131,36,5,3,-5
-1705,-1617,-226,45,42,123,0,0,-6
708,36,4790,1,57,-48,-1,-3,-4
2266,9745,3707,38,-101,-78,-5,-8,-1
7320,-629,-2164,-134,-62,18,-3,4,2
746,6097,-2544,-78,-44,-11,3,-6,4
1563,-7678,5873,115,-13,-57,-8,11,-5
-8146,-3232,-5147,156,-52,155,3,7,-1
-3966,4235,1389,7,44,22,5,-8,-3
2171,-5151,14708,21,-21,-75,-4,8,-16
442,-1232,2730,9,-20,3,-2,5,-8
-273,-1960,5408,-58,89,-100,5,-1,-8
-624,-3559,247,50,137,31,-2,0,-3
2106,-2688,1482,-82,144,-57,0,-3,0
-2886,1147,2678,83,-44,-157,2,0,4
1984,472,-191,-31,-3,63,-3,-1,-4
3604,-6710,-2540,-21,123,-32,-8,9,9
5305,1390,781,-182,103,-15,-1,-11,-1
-527,256,-1055,-22,-107,39,3,7,0
7708,1660,5803,-131,-19,-103,-11,-3,-8
-5981,-2228,-6671,68,-15,23,11,7,16
1356,-1869,-687,39,68,25,-6,0,0
-1052,4725,937,38,-66,54,0,-7,-6
-1668,10101,-631,2,-229,23,4,-9,0
-1906,-4165,4255,-33,-24,37,7,12,-13
-2760,-2373,-2325,-46,57,40,10,2,3
516,-6601,-1625,69,63,44,-6,12,1
1062,-6279,-4929,6,66,17,-3,11,11
1636,-2387,-1205,-87,72,58,2,1,-1
3099,3807,-117,-71,-169,77,-9,-3,-7
1009,-3185,-991,-1,39,-47,-5,13,10
-3228,368,1954,142,32,-62,3,-5,-4
1180,1793,-896,-20,-173,-2,-4,8,5
-1936,7,2790,24,1,-36,8,0,-11
-1214,-2045,3474,116,9,-132,-5,10,-5
4619,2971,-3480,-171,-75,104,-7,-8,8
-2088,1166,3018,112,-40,-28,0,-2,-13
211,653,2410,21,107,-46,-3,-14,-8
2415,1926,-1580,-75,50,34,-5,-15,5
1538,-908,976,-54,31,26,0,0,-4
3539,7415,1788,-18,-151,-32,-7,-7,-2
3249,4196,-1373,-23,-25,2,-6,-8,3
2031,-4301,1701,-41,148,-29,-2,0,-2
2002,11678,-2475,-25,-148,85,-3,-17,0
2350,-560,-1315,-52,64,15,-2,-3,2
11423,-875,9878,-163,-146,-174,-13,11,-9
1751,-5773,2469,53,156,33,-7,2,-7
-2155,4333,-7110,51,-122,38,1,-1,12
-5906,7123,1229,92,-84,-39,6,-9,0
4696,-2115,113,-106,-74,-35,-3,9,2
-1132,-4533,1322,34,36,6,0,7,-3
1658,519,-978,-72,-26,-46,-5,-1,14
83,-426,732,25,-35,32,-4,8,-10
278,-1926,-1653,-52,49,79,4,10,4
-787,-6,-183,-21,57,61,9,-7,-6
-487,1044,612,-65,-109,32,12,5,-9
2603,-1521,-123,-135,86,105,-5,2,-12
-562,1044,-1188,12,-5,160,3,-8,-10
-1715,3425,5361,-30,-42,-103,5,-4,-4
-2803,721,-5279,-95,92,48,11,-7,7
957,-303,-5263,-97,-107,64,4,7,6
829,-943,-7839,-93,12,62,4,1,11
-2883,4417,-4703,56,-40,96,2,-6,3
2557,-6319,3889,51,147,9,-8,3,-8
-7939,-799,-4191,82,-9,-52,10,2,11
-7470,-439,367,120,92,9,17,-6,-2
-2134,-94,-898,20,-115,40,6,10,0
-478,1930,2092,20,-35,-114,0,-4,2
1040,-1727,551,-82,28,-59,3,4,3
-2318,-324,2069,4,63,-77,8,-4,-1
-2249,21,-1220,73,0,18,2,0,3
2627,-3199,-2577,17,44,113,-11,8,0
-2732,-1796,482,-2,103,-68,10,-2,4
441,1243,20,43,-28,83,-10,-8,-11
1029,-1151,-764,-104,68,94,4,2,-5
-672,-2551,97,25,153,40,3,4,-6
1027,1714,-804,-72,-122,60,-1,-2,1
416,1506,-50,-32,-22,16,0,-14,-1
-1131,1623,-1103,150,-108,20,-9,-3,10
1001,-990,-1454,-63,37,75,-2,5,6
-418,465,403,-35,5,45,12,-8,-14
682,-734,73,-21,120,-75,-7,-9,11
-2343,333,-1159,140,-79,25,12,8,13
924,421,-587,-43,3,-75,-7,-7,21
-693,-404,293,44,24,-5,3,2,-4
363,355,183,-58,-33,-49,4,0,5
-5454,-1885,-2432,116,-43,149,13,12,-3
342,-793,-941,-17,15,23,0,2,2
-456,1139,-920,21,-22,0,0,-3,4
-101,-4352,13169,23,75,-150,-1,2,-10
-3122,360,-2677,83,-49,-84,0,2,8
-7093,-2072,800,51,-24,78,7,4,-5
6397,1082,4505,8,88,-39,-9,-6,-4
-63,1937,-1005,22,46,106,-1,-5,-4
-595,1367,-910,-42,-56,45,3,1,-1
2578,-11667,-1670,-28,-25,-52,-2,17,5
-3425,-215,4501,138,8,41,-2,0,-11
-4625,-135,-939,27,-77,13,7,5,1
479,1913,2117,-17,-42,-66,0,-1,0
-3015,2181,-3524,-9,-40,-70,7,-2,12
-2280,-5424,436,137,74,108,-4,7,-8
6240,-669,-2024,-54,-7,-89,-10,2,10
-3885,-84,-8054,51,-11,50,5,1,14
-3345,6336,2956,2,-8,-69,7,-13,-2
-3465,-1449,-779,6,-43,-22,7,6,3
-1170,-8754,-1094,162,92,-27,-8,13,4
6195,2541,886,-68,10,-31,-9,-6,0
5625,3321,-2279,-142,-78,90,-3,-2,-1
146,1150,-504,-34,-42,20,4,-8,3
-64,-2,1992,16,-63,-110,-1,10,-9
-1138,334,-24,99,0,-7,0,-4,1
2156,-146,354,-104,14,-19,-11,0,-2
2224,501,-708,-92,-21,-46,0,0,6
664,405,960,98,33,22,-10,-4,-5
1144,2061,-2388,-47,-36,149,0,-4,-4
-212,-2043,4500,-78,-65,-113,7,12,-6
1084,4569,-4644,-57,-28,-32,1,-13,18
-824,5649,-4296,60,-48,-34,-2,-15,17
88,-591,-3132,22,-13,30,-2,3,8
2836,1917,-696,-30,-105,116,-7,2,-7
-4061,279,753,73,-63,7,7,4,-3
4439,579,-422,-46,-23,-24,-10,0,3
-2060,11364,-3131,-39,-107,-127,6,-14,13
6751,672,-9962,-119,64,97,-5,-5,12
-575,7206,-6068,-33,-100,13,3,-7,10
2197,2553,-4418,2,-78,-71,-4,0,12
4045,243,-5342,31,9,-26,-9,-1,11
358,122,480,-55,-68,25,4,8,-8
-1021,-158,1908,156,12,-122,-11,0,-2
939,283,-283,1,33,-48,-9,-7,9
519,-438,1425,31,107,-35,-9,-10,-9
904,-641,-388,-139,54,12,10,-1,2
6864,2454,-491,65,22,15,-17,-6,0
-272,1750,-3947,57,11,-9,-3,-4,8
1168,-6842,3589,78,164,36,-7,3,-9
-2224,4070,-347,-80,21,-105,9,-9,7
-1872,2102,-875,41,66,-39,1,-8,4
-5120,-3610,1701,126,63,-4,2,3,-3
-7936,774,-2043,115,-74,47,8,3,1
-5770,1949,-1810,144,-4,67,16,-10,3
1032,524,-993,66,-119,54,-12,9,0
-241,904,-2703,23,-39,74,-1,-1,7
1659,-2535,52,73,32,-11,-16,10,1
-469,790,-214,-55,97,-77,8,-14,9
-13,-179,356,31,18,-57,-3,-1,4
899,-312,-2000,-27,-45,127,-2,6,-2
1545,581,-727,-11,38,40,-7,-7,0
-3167,1702,-43,147,49,4,2,-14,0
-526,106,-3919,8,-17,38,2,1,17
1381,-388,-404,-175,24,29,7,2,2
-144,-1008,-374,5,163,59,2,-12,-4
-4344,-3608,1616,45,54,-4,6,4,-3
-1647,-787,4189,-10,-53,25,4,5,-10
3965,7621,-1235,-35,-45,34,-4,-9,0
-6925,-515,4255,27,33,-26,9,-1,-5
-3361,-7715,-3737,76,48,122,1,9,-1
4829,5857,-1217,-96,-107,15,-2,-3,1
1877,-1469,-4079,-51,41,39,0,0,4
4584,-3664,7121,124,69,-87,-17,3,-9
4708,-719,1014,-8,54,-82,-9,-2,3
-4530,3249,1665,-46,22,73,12,-8,-8
361,-798,851,-116,55,25,10,-1,-8
-2177,1209,-355,82,-66,16,4,0,0
784,-573,1544,-54,52,-23,1,-2,-7
1639,-879,-436,-73,-121,68,-2,18,-5
1297,1317,-166,-54,-15,-4,-2,-6,1
3466,1938,-2011,-70,-78,13,-13,-3,10
-2096,1173,-1561,11,-83,121,11,2,-4
-548,2163,1724,-75,-119,-109,11,0,1
469,-2427,1067,11,3,-63,-4,14,0
919,57,3083,-33,-78,-118,-2,8,-6
947,-909,986,-77,0,-36,1,10,-6
609,-857,-925,-79,73,20,5,-1,7
-4448,-1323,-14360,54,34,149,3,0,11
1636,4332,-3557,78,-71,-68,-6,-2,8
-2420,-12321,6739,2,56,88,3,13,-13
1636,6477,-944,-42,34,-35,0,-10,3
8812,2148,-5273,-26,45,96,-10,-5,2
-587,-3195,-14945,-85,22,84,5,3,15
6394,-3429,3346,36,88,15,-10,0,-5
-1958,2401,204,102,-119,-34,5,-7,3
-1090,266,1569,55,-19,-109,3,0,0
2574,-921,907,-139,58,-86,-6,1,3
-2718,-298,501,59,6,-57,18,2,3
-219,-1950,998,23,94,-40,-1,6,-4
3407,-809,1474,-116,35,-89,-17,3,-2
-541,-1670,-661,-14,29,41,7,12,1
-485,451,1803,-18,-25,-75,7,-1,-7
796,1109,1586,3,-132,-82,-8,7,-4
5,-438,2104,22,76,-59,-3,-6,-12
2770,724,137,-138,8,74,-8,-8,-11
1335,-935,1586,-133,59,-52,5,1,-8
-600,-494,17,0,26,-10,4,0,1
-73,1376,-1547,-13,42,37,2,-14,6
-2198,1750,-1088,85,-124,10,5,2,6
-955,2741,1118,87,-214,-96,0,-6,-1
79,398,260,-1,11,0,-1,-8,-4
-394,112,-873,90,55,13,-9,-11,11
750,-251,-1390,-2,-32,72,-11,9,9
-933,-625,-1511,25,68,77,10,-2,10
-812,673,-1159,38,-38,153,6,-4,-8
-2490,1276,508,17,-16,112,5,-2,-9
730,-1902,-4252,18,-62,21,-3,9,9
-1678,6904,3168,17,-72,-41,3,-12,-5
-40,-432,-3034,-56,132,50,4,-8,4
2980,-2943,13263,-88,-2,-129,0,5,-15
8216,3432,-5165,-67,-32,-42,-10,-4,11
-2188,11252,-4927,64,-87,-49,0,-14,11
-2513,-3249,3089,176,-8,-100,-6,7,0
-5055,223,-4289,2,24,-22,10,-2,10
-3722,1370,-2274,7,35,-7,7,-5,5
9201,8581,1004,-55,-80,114,-9,-7,-7
-315,469,-6640,-51,-52,-30,3,2,10
5886,-19772,1433,-70,127,63,-4,19,-5
4716,7333,-7264,120,12,26,-12,-10,8
2571,4213,-7108,75,-108,42,-7,0,7
2688,7060,-946,12,39,-36,-4,-11,3
3195,-4523,-5548,-41,116,-38,-2,0,9
16182,20203,8375,-134,-78,-175,-14,-22,-2
-8583,4213,3851,41,-28,-99,9,-4,0
-29,-291,-717,-1,26,133,1,0,-11
-1487,-747,-663,140,90,44,-2,-4,2
-77,-1047,129,29,63,-48,-3,4,6
1,627,-9,-62,-5,-4,10,-7,1
-689,225,1479,28,-4,-89,5,-2,-5
3651,9977,-1851,-74,-16,28,-1,-12,1
-2004,-10303,2127,-9,4,-54,3,13,0
1389,4088,-3060,104,15,-1,-7,-6,4
11256,-2971,-2007,-129,36,52,-8,2,0
6147,-787,12696,-98,60,-145,-3,-2,-9
8994,6467,10551,-51,-186,110,-9,1,-19
2832,3035,2322,107,62,41,-9,-7,-5
-11559,7286,-5244,116,-47,-45,9,-7,9
5991,-8704,8679,-94,-17,-2,-3,12,-11
4718,-4023,8441,-136,19,-128,-1,7,-9
4625,-861,-1262,-69,77,73,-5,-3,-2
589,3578,-416,58,-10,64,-7,-12,-4
1141,-2678,1217,-50,34,29,0,7,-7
3211,1600,2988,-44,4,-60,-8,-6,-6
-2056,-33,-1727,5,51,13,7,-4,5
-3476,6358,-3757,96,49,73,1,-16,3
2476,-4275,-99,64,40,-29,-9,6,2
9885,2111,1265,-47,-86,-41,-17,1,0
-10544,1150,955,132,121,-31,13,-10,0
-717,-338,-6640,-41,57,54,4,-3,10
-1306,3785,-502,-22,-124,-32,4,0,3
-3941,-2105,-5090,79,-62,-12,3,8,11
-3352,4405,-4067,108,-32,67,0,-7,4
403,-1972,-1042,-28,84,-34,1,-1,5
2153,884,-496,11,69,-68,-6,-7,6
-264,-3603,2640,26,104,-76,-1,0,0
-754,4587,1100,22,-58,4,0,-4,-2
4321,-3078,-6425,93,125,-33,-12,-2,12
-1419,387,-8280,41,26,92,0,-2,8
681,4902,3760,-55,-49,0,2,-5,-6
1451,-7348,-10450,-59,-5,118,1,12,10
4286,2802,-7265,-122,83,-45,0,-9,14
1337,5510,-5238,7,-83,58,-3,-6,7
6297,1232,8216,-89,-25,-184,-7,-1,-5
787,3206,2183,42,-63,4,-5,-4,-6
-941,3017,-3568,8,-112,147,2,0,-1
4027,3557,-679,-134,-104,68,-1,-2,-3
4864,-1438,-2137,31,67,-46,-15,-1,9
325,164,754,-74,3,-4,7,-4,-13
610,524,-201,-75,-22,20,2,-6,0
-215,224,699,-9,-36,-15,5,2,-10
-495,1334,-1331,30,-136,133,3,0,0
-390,-6,-861,25,9,130,2,-2,-8
-595,729,-116,-4,-59,6,11,-3,1
1360,804,-56,-139,-72,0,0,-2,1
90,359,-591,-78,11,92,12,-9,-6
-620,-1566,-231,48,99,23,2,10,0
